"jobTitle","company","meanPay"
"Customer Service","USAA","$47,299/yr"
"Customer Service - Hourly","Title Nine","$13/hr"
"Customer Service","Wyndham Destinations","$33,558/yr"
"Customer Service","PCA","$45,521/yr"
"Customer Service - Hourly","Sam's Club","$13/hr"
"Customer Service - Hourly","Chick-fil-A","$12/hr"
"Customer Service","State Farm","$35,746/yr"
"Customer Service - Hourly","eGumball","$11/hr"
"Customer Service - Hourly","Hallmark Aviation Services","$15/hr"
"Customer Service - Hourly","Great Harvest","$9/hr"
"Customer Service - Hourly","Cabela's","$11/hr"
"Customer Service","Asurion","$35,343/yr"
"Customer Service - Hourly","Alere","$17/hr"
"Customer Service - Hourly","Trulia","$17/hr"
"Customer Service - Hourly","Price Chopper Supermarkets (NY)","$11/hr"
"Customer Service","TD Ameritrade","$49,706/yr"
"Customer Service - Hourly","Progressive Insurance","$16/hr"
"Customer Service - Hourly","Rent-A-Center","$12/hr"
"Customer Service","Land ’N’ Sea Distributing","$35,113/yr"
"Customer Service - Hourly","ONYX","$19/hr"
"Customer Service - Hourly","Gigi's Cupcakes","$9/hr"
"Customer Service - Hourly","DSC Logistics","$13/hr"
"Customer Service - Hourly","Giant Eagle","$10/hr"
"Customer Service","Florida Department of Health","$27,241/yr"
"Customer Service - Hourly","Jet","$16/hr"
"Customer Service - Hourly Intern","Verizon","$15/hr"
"Customer Service","Prudential","$35,448/yr"
"Customer Service - Hourly","Frontier Communications","$27/hr"
"Customer Service","Vantage Deluxe World Travel","$38,325/yr"
"Customer Service - Hourly","K&G Fashion Superstore","$9/hr"
"Customer Service - Hourly","U.S. Legal Support","$17/hr"
"Customer Service - Hourly","Anthropologie","$13/hr"
"Customer Service - Hourly","Albertsons Companies","$13/hr"
"Customer Service - Hourly","YMCA","$11/hr"
"Customer Service - Hourly","Forever 21","$11/hr"
"Customer Service","Associa","$38,791/yr"
"Customer Service - Hourly","Swissport","$11/hr"
"Customer Service - Hourly","Wawa","$11/hr"
"Customer Service - Hourly","Starwood Hotels & Resorts","$14/hr"
"Customer Service - Hourly","Amtrak","$21/hr"
"Customer Service","CNA","$37,261/yr"
"Customer Service - Hourly","The Fresh Market","$10/hr"
"Customer Service - Hourly","MOM's Organic Market","$11/hr"
"Customer Service - Hourly","Cenlar","$19/hr"
"Customer Service","Owens & Minor","$43,580/yr"
"Customer Service","Rinchem","$42,780/yr"
"Customer Service - Hourly Contractor","Arise","$13/hr"
"Customer Service - Hourly","Von Maur","$11/hr"
"Customer Service","Econocaribe Consolidators","$29,818/yr"
"Customer Service - Hourly","Old Navy","$10/hr"
"Customer Service - Hourly","Discover","$16/hr"
"Customer Service","PayPal","$34,952/yr"
"Customer Service - Hourly","Alltel","$15/hr"
"Customer Service","Sherwin-Williams","$28,185/yr"
"Customer Service - Hourly","Forman Mills","$9/hr"
"Customer Service","Nordstrom","$32,279/yr"
"Customer Service - Hourly Contractor","ModSquad","$9/hr"
"Customer Service - Hourly","FedEx Office","$15/hr"
"Customer Service - Hourly","Buffalo Wild Wings","$10/hr"
"Customer Service","MetLife","$33,087/yr"
"Customer Service","Xerox","$21,328/yr"
"Customer Service","Apple","$43,514/yr"
"Customer Service - Hourly","AutoZone","$12/hr"
"Customer Service - Hourly","24-7 Intouch","$14/hr"
"Customer Service","AIG","$43,075/yr"
"Customer Service","Capital Group","$41,158/yr"
"Customer Service - Hourly","Ryla Telaservices","$12/hr"
"Customer Service","Brimar Industries","$45,843/yr"
"Customer Service - Hourly","Chewy","$13/hr"
"Customer Service - Hourly","Lulus","$15/hr"
"Customer Service - Hourly","Humana","$18/hr"
"Customer Service - Hourly Intern","Zerve","$11/hr"
"Customer Service - Hourly","U-Haul","$9/hr"
"Customer Service - Hourly","Jack in the Box","$11/hr"
"Customer Service","Wells Fargo","$43,363/yr"
"Customer Service - Hourly","Domino's","$9/hr"
"Customer Service - Hourly","Dialog Direct","$10/hr"
"Customer Service","Rocket Gaming Systems","$27,223/yr"
"Customer Service - Hourly","Grand Circle Travel","$19/hr"
"Customer Service","Humana","$37,088/yr"
"Customer Service","NetJets","$54,005/yr"
"Customer Service - Hourly","Meijer","$10/hr"
"Customer Service - Hourly","American Express","$18/hr"
"Customer Service","ADP","$38,106/yr"
"Customer Service - Hourly","Hibu","$19/hr"
"Customer Service - Hourly","Subway","$12/hr"
"Customer Service - Hourly","Burger King","$8/hr"
"Customer Service - Hourly","Little Caesar's","$9/hr"
