date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Sun Jul 28 2019 10:08:05 GMT-0700 (Pacific Daylight Time),,"Tucson, AZ",Current Employee ,Annual layoffs with great benefits for Full Time Employees,I have been working at Intuit full-time for more than 5 years,5,"Great benefits, cafeteria, exposure to lots of different software tools, company name looks good on resume. Working as a contractor is best for expectations on future at the company.","Annual layoffs, open crowded office space to do work, glass rooms for important employee meetings, low technical, can be a depressing and over-worked environment.","Going back to the former 'annual layoff' culture is not a good turn for the new Intuit leadership. For employees remaining after layoffs each year it's way too depressing, plus there is now more work with less people. Also, moving US Intuit jobs to India should be unheard of in record profit times at Intuit. It's hard to explain to outsiders and make the company attractive to smart employees.",1.0,3.0,2.0,1.0,2.0,2.0
Mon Jun 24 2019 09:11:31 GMT-0700 (Pacific Daylight Time), Executive Administrative,"Mountain View, CA",Former Employee ,Intuit Executive Admin,I worked at Intuit full-time for more than 8 years,,Great place to work. True to their values. Amazing team of employees,I honestly cannot think of any cons,,5.0,5.0,5.0,5.0,5.0,5.0
Fri Jun 21 2019 13:52:29 GMT-0700 (Pacific Daylight Time), Software Engineer,"Mountain View, CA",Current Employee ,"Good place to work, only if you are in the sweet spot",I have been working at Intuit full-time for more than 5 years,8," Employee friendly policies and culture
- Good WLB
- Strong, inspiring exec leaderships, takes right big bet calls
- Executive push for strong SWE culture, related investments in developer tooling
- Ethical , fair , and considerate immigration support
- Lot of goodwill for flagship products, real tangible impact to people's financial lives. You can take pride that you are making a difference"," Senior/Middle management sucks, very territorial
- Cross boundary, inter -disciplinary work difficult, even though senior exec support. Thats because territorial point above. Cross collaboration attempts perceived as threats rather than opportunity, even though the official spin is other way around
- Too much effort in planning, less on executing. Every year there is new buzzword. There seems to be new 3 year plan every 6 months.
- too much emphasis on ""wow effect"", ""shiny objects"" in SWE outputs. Rigorous engineering, real scientific investigations are not acknowledged/rewarded , even internally my management, unless there is some external (to team) wow event."," Leaders seem always busy ""planning"", not connected to engineers on ground. Many VPs may not even know their engineers by face.
- Even though we adopted Agile, senior leadership though process is still ""waterfall"". There is fear of failure , risk taking is not encouraged, only big milestones are worth celebrating.
- There are some really good talented people around, but their energies are not effectively utilized or even recognized. Keep your ""talent acquisition"" hat open even internally.
- Decentralize decision making more, cut down on layers and wrapper SDKs, be flexible when prescribing generic tooling
- Keep up the good work with Big Bet grooming, they make sense, and help relate SWE work to real customer work",3.0,5.0,4.0,3.0,4.0,3.0
Fri Jun 21 2019 04:22:09 GMT-0700 (Pacific Daylight Time), Customer Service,"Greenville, NC",Current Employee ,Great job,I have been working at Intuit full-time for less than a year,,Pick my very own hours,Seasonal and it doesn't last long,None,5.0,5.0,5.0,5.0,5.0,5.0
Tue Jul 02 2019 18:05:13 GMT-0700 (Pacific Daylight Time), Software Engineer,"San Diego, CA",Former Employee ,Good People,I worked at Intuit full-time for more than 10 years,,Many people who left the company returned after working some place else.,Campus is a little out of the way,,4.0,4.0,4.0,4.0,4.0,3.0
Tue Jul 02 2019 18:10:48 GMT-0700 (Pacific Daylight Time), Software Quality Assurance Engineer,"Mountain View, CA",Former Employee ,Great place to work,I worked at Intuit full-time for more than 5 years,,"Great Company, Good Benefits and an excellent work place",None during my experience at Intuit.,,4.0,,,,,
Sun Jun 16 2019 19:19:26 GMT-0700 (Pacific Daylight Time), Tax Expert,,Former Employee ,Good,I worked at Intuit part-time for more than a year,,"Good pay, part time schedule, remote",Wish it was not just seasonal but it’s great pay for the season.,,5.0,5.0,5.0,4.0,5.0,5.0
Mon Jun 17 2019 11:49:28 GMT-0700 (Pacific Daylight Time), Product Designer,,Current Employee ,Great place to work!,I have been working at Intuit full-time for more than 10 years,,The benefits and work life balance,The usual politics that exist at most places,,5.0,5.0,5.0,4.0,2.0,3.0
Tue Jul 16 2019 22:31:16 GMT-0700 (Pacific Daylight Time), Project Manager,"San Diego, CA",Current Employee ,Waste of time. Beware!,I have been working at Intuit full-time for more than 3 years,8,Overpaid. Benefits. Nothing else. You will not learn anything unfortunately. This “tech” company has no systems in place. Use Google docs like a tiny start up.,Cult like atmosphere. Almost scary how robotic everyone is. Unqualified people who know they are lucky to have a good paying job so they adhere to the cult atmosphere. “Speed Dating” is an actual initiative as a way to get to know your team. Truly sad. One unqualified person brings in unqualified people that they worked with in the past.,,1.0,1.0,1.0,1.0,2.0,1.0
Wed Jun 12 2019 07:50:53 GMT-0700 (Pacific Daylight Time), Seasonal Service and Support,"Tucson, AZ",Current Employee ,An excellent place to work,I have been working at Intuit full-time for more than a year,,"Creative freedom, inspiration, innovation and amazing culture.","Very difficult to get full-time employment, but not impossible.",Keep up the great work,5.0,5.0,5.0,4.0,5.0,5.0
