"jobTitle","meanPay","Range"
"CAD Engineer - Hourly Intern","$34/hr","Range: $26 - $43"
"BW Developer","$116,102/yr","Range: $110K - $122K"
"Director, Global Sales Management","$172,794/yr","Range: $166K - $181K"
"Senior Hardware Design Engineer","$150,840/yr","Range: $137K - $165K"
"Creative Art Director","$151,477/yr","Range: $139K - $166K"
"Engineer, IT Advisory","$111,893/yr","Range: $90K - $134K"
"SAP Netweaver Developer","$118,328/yr","Range: $102K - $135K"
"Senior Systems Design Engineer","$119,328/yr","Range: $102K - $137K"
"Senior Marketing Program Manager","$164,850/yr","Range: $149K - $183K"
"Demand Planner","$83,384/yr","Range: $74K - $95K"
"Senior Systems Hardware Engineer","$161,031/yr","Range: $135K - $189K"
"QA Engineer","$85,542/yr","Range: $80K - $91K"
"Software Quality Assurance Engineer","$94,639/yr","Range: $82K - $108K"
"Marketing Campaign Manager","$123,059/yr","Range: $117K - $130K"
"Director, Business Development Management","$160,402/yr","Range: $150K - $171K"
"Senior Technical Sourcer","$74,424/yr","Range: $59K - $92K"
"Embedded Software Engineer","$123,470/yr","Range: $119K - $129K"
"Software Engineer - Monthly","$8,109/mo","Range: $7K - $9K"
"Marketing Program Manager","$119,840/yr","Range: $94K - $148K"
"Senior CPU Verification Engineer","$178,261/yr","Range: $163K - $197K"
"Senior Compiler Engineer","$136,634/yr","Range: $119K - $154K"
"Software Development Engineer - Monthly Intern","$8,624/mo","Range: $7K - $10K"
"Senior Computer Engineer","$153,092/yr","Range: $130K - $176K"
"Software Development Manager","$133,951/yr","Range: $92K - $178K"
"Design Verification Engineer","$102,486/yr","Range: $98K - $108K"
"Lead Validation Engineer","$140,182/yr","Range: $133K - $147K"
"Global Account Manager","$150,821/yr","Range: $136K - $167K"
"Business Systems Analyst IV","$146,563/yr","Range: $139K - $155K"
"Technical Product Manager","$159,278/yr","Range: $151K - $168K"
"Build and Release Engineer","$132,699/yr","Range: $128K - $139K"
"Finance Manager","$146,677/yr","Range: $125K - $167K"
"Electrical Engineer","$116,382/yr","Range: $97K - $138K"
"Senior Web Applications Developer","$124,852/yr","Range: $119K - $133K"
"Hardware Engineer - Monthly","$4,747/mo","Range: $4K - $5K"
"ASIC Verification Engineer","$149,895/yr","Range: $123K - $176K"
"Service Desk Technician - Hourly Contractor","$24/hr","Range: $21 - $26"
"Operations Research Analyst","$112,559/yr","Range: $90K - $136K"
"Principal Architect","$187,898/yr","Range: $154K - $222K"
"Lead Design Engineer","$131,779/yr","Range: $96K - $170K"
"Data Scientist","$147,211/yr","Range: $130K - $167K"
"Sales Executive","$140,502/yr","Range: $114K - $169K"
"IT Staff Engineer","$141,651/yr","Range: $134K - $147K"
"Infrastructure Architect","$132,970/yr","Range: $119K - $149K"
"Design Engineering Manager","$160,982/yr","Range: $154K - $169K"
"Senior Reporting Analyst","$104,856/yr","Range: $101K - $110K"
"Event Manager - Hourly Contractor","$42/hr","Range: $40 - $43"
"ASIC Engineering - Hourly Intern","$34/hr","Range: $33 - $36"
"Campus Recruiter","$106,764/yr","Range: $102K - $111K"
"Logistics Analyst","$82,574/yr","Range: $80K - $86K"
"Network Administrator - Hourly Contractor","$31/hr","Range: $30 - $33"
"DSP","$45,696/yr","Range: $44K - $48K"
"Video Software Engineer - Hourly Intern","$37/hr","Range: $35 - $38"
"Visual Designer","$101,560/yr","Range: $96K - $106K"
"Program Analyst","$91,703/yr","Range: $88K - $95K"
"Senior Human Resources Generalist","$121,050/yr","Range: $116K - $126K"
"Senior Infrastructure Engineer","$112,252/yr","Range: $107K - $116K"
"ETL Developer","$108,134/yr","Range: $104K - $112K"
"DFT Engineer - Hourly Intern","$47/hr","Range: $45 - $49"
"Front Desk Administrator - Hourly","$22/hr","Range: $21 - $23"
"Senior R&D Engineer","$137,725/yr","Range: $132K - $143K"
"Material Handler - Hourly Contractor","$21/hr","Range: $20 - $22"
"Copywriter","$98,623/yr","Range: $95K - $103K"
"Contractor - Hourly","$41/hr","Range: $39 - $43"
"Principal Research Scientist","$256,715/yr","Range: $248K - $265K"
"Scheduler","$73,603/yr","Range: $71K - $76K"
"Production Engineer","$102,289/yr","Range: $98K - $106K"
"Senior Hardware Engineer - Monthly","$14,922/mo","Range: $14K - $15K"
"Graphic Designer","$64,291/yr","Range: $62K - $67K"
"Software Mobile CE","$117,108/yr","Range: $113K - $122K"
"Senior Channel Marketing Manager","$171,357/yr","Range: $163K - $177K"
"Applications Engineering - Hourly Intern","$26/hr","Range: $25 - $27"
"Director of Quality","$217,653/yr","Range: $207K - $228K"
"Supply Chain Planner","$95,306/yr","Range: $92K - $100K"
"Senior Software Engineer - Hourly Contractor","$70/hr","Range: $67 - $73"
"Web Developer","$102,181/yr","Range: $99K - $106K"
