"jobTitle","meanPay","Range"
"Onboarding Program Manager","$89,995/yr","Range: $86K - $93K"
"Software/Firmware Engineer","$94,499/yr","Range: $92K - $98K"
"Mechanical Engineer V","$97,919/yr","Range: $94K - $102K"
"Customer Service Specialist","$61,836/yr","Range: $60K - $65K"
"Desktop Support Technician - Hourly","$18/hr","Range: $17 - $18"
"Principal Systems Engineer","$108,000/yr","Range: $105K - $113K"
"Senior Technical Lead","$115,391/yr","Range: $111K - $119K"
"Channel Account Manager","$78,061/yr","Range: $75K - $81K"
"Account Service Manager","$100,000/yr","Range: $96K - $105K"
"Project Manager, Software Systems Engineer","$130,000/yr","Range: $125K - $135K"
"Chemist","$104,973/yr","Range: $101K - $108K"
"Program Manager - Hourly Contractor","$71/hr","Range: $67 - $73"
"R&D Senior Firmware Engineer","$120,188/yr","Range: $116K - $125K"
"Senior Technical Writer","$117,749/yr","Range: $112K - $123K"
"Mechanical Engineering - Hourly Intern","$21/hr","Range: $20 - $22"
"R&D Program Manager","$102,294/yr","Range: $99K - $106K"
"Marketing Analyst - Hourly Intern","$26/hr","Range: $25 - $27"
"Senior Solutions Architect","$132,730/yr","Range: $126K - $139K"
"Project Manager/Business Analyst - Monthly Intern","$3,567/mo","Range: $3K - $4K"
"California - Hourly","$23/hr","Range: $22 - $24"
"Group Product Manager","$149,751/yr","Range: $142K - $156K"
"Software - Hourly Intern","$23/hr","Range: $22 - $24"
"Account Manager","€53,766/yr","Range: €52K - €56K"
"Marketing - Hourly Intern","$20/hr","Range: $20 - $21"
"Finance Analyst II","$59,653/yr","Range: $57K - $62K"
"Finance - Hourly","$32/hr","Range: $31 - $33"
"Technical Support - Hourly","$13/hr","Range: $13 - $13"
"Sr Financial Analyst","$101,114/yr","Range: $98K - $105K"
"Data Engineer","$101,871/yr","Range: $98K - $106K"
"Chemical Lab Technician - Hourly","$28/hr","Range: $27 - $29"
"Director of Product Marketing","$189,716/yr","Range: $182K - $196K"
"Data Analyst - Contractor","$40,645/yr","Range: $39K - $43K"
"Specialist","$79,062/yr","Range: $76K - $82K"
"Software Engineer() - Monthly Intern","$6,469/mo","Range: $6K - $7K"
"Full Stack Developer - Monthly","$4,514/mo","Range: $4K - $5K"
"Big Data Engineer - Hourly Contractor","$45/hr","Range: $43 - $47"
"Executive","$314,703/yr","Range: $304K - $329K"
"Senior Hardware Engineer","$131,237/yr","Range: $125K - $137K"
"Software Developer - Hourly Contractor","$39/hr","Range: $37 - $41"
"Administrative Assistant","$41,270/yr","Range: $40K - $43K"
"Field Service Technician","$48,500/yr","Range: $46K - $51K"
"Senior Architect","$113,062/yr","Range: $108K - $117K"
"Senior Marketing Communications Manager","$143,506/yr","Range: $138K - $150K"
"Product Reliability Engineer","$91,639/yr","Range: $89K - $96K"
"Business Planning Analyst","$73,057/yr","Range: $69K - $77K"
"IT Business Analyst","$68,564/yr","Range: $66K - $71K"
"Planning","$46,026/yr","Range: $44K - $48K"
"Customer Service Representative Tech - Hourly","$16/hr","Range: $15 - $17"
"Business Analyst - Hourly Intern","$22/hr","Range: $21 - $23"
"Consultant - Hourly Contractor","$47/hr","Range: $45 - $48"
"Director of Ecommerce - Monthly","$8,527/mo","Range: $8K - $9K"
"District Sales Manager","$60,094/yr","Range: $58K - $63K"
"IT Service Delivery Manager","$78,432/yr","Range: $75K - $82K"
"Senior Firmware Engineer","$100,078/yr","Range: $96K - $105K"
"Help Desk Technician - Hourly","$20/hr","Range: $19 - $21"
"Production - Hourly","$8/hr","Range: $8 - $9"
"Supply Chain Program Manager","$86,938/yr","Range: $83K - $91K"
"Customer Service/Technical Support","$90,497/yr","Range: $87K - $95K"
"Senior Research Chemist","$135,746/yr","Range: $130K - $141K"
"User Experience Manager","$102,350/yr","Range: $98K - $107K"
"Marketing Analyst","$87,176/yr","Range: $84K - $91K"
"Mechanical Engineering","$75,597/yr","Range: $73K - $79K"
"Systems Integration Engineer","$93,276/yr","Range: $90K - $98K"
"Data Science - Hourly Intern","$23/hr","Range: $23 - $24"
"IT Auditor","$104,233/yr","Range: $99K - $107K"
"VP Product Management","$240,364/yr","Range: $231K - $251K"
"Visual Designer - Hourly Contractor","$41/hr","Range: $40 - $43"
"VP","$250,798/yr","Range: $239K - $259K"
"Program Marketing Manager","$129,213/yr","Range: $123K - $134K"
"Intermediate Software Engineer","$86,677/yr","Range: $84K - $90K"
"Software Developer/Engineer","$83,338/yr","Range: $80K - $87K"
"Senior Project/Program Manager","$161,000/yr","Range: $155K - $167K"
"Senior Human Resources Business Partner","$148,232/yr","Range: $143K - $155K"
"Technology Consultant V","$125,983/yr","Range: $122K - $131K"
"IT Program Manager","$109,314/yr","Range: $106K - $114K"
"Senior Manager - Strategy & Operations","$116,539/yr","Range: $113K - $121K"
"Software QA","$107,907/yr","Range: $105K - $112K"
"Senior Data Analyst","$132,565/yr","Range: $127K - $137K"
"Senior Web Developer","$104,901/yr","Range: $101K - $110K"
"Data Insights Manager","$127,100/yr","Range: $121K - $132K"
"Director of Real Estate","$203,932/yr","Range: $197K - $211K"
