"jobTitle","meanPay","Range"
"Alliance Manager","$153,493/yr","Range: $136K - $197K"
"Senior Web Marketing Manager","$145,725/yr","Range: $128K - $164K"
"Strategic Planning, Director","$182,773/yr","Range: $172K - $194K"
"Quality Engineer","$83,206/yr","Range: $78K - $89K"
"Senior Quality Engineer","$124,375/yr","Range: $117K - $133K"
"Senior Program Manager - Contractor","$160,670/yr","Range: $129K - $195K"
"Desktop Support","$78,557/yr","Range: $69K - $88K"
"Finance Director","$197,480/yr","Range: $186K - $207K"
"Marketing Consultant - Hourly Contractor","$107/hr","Range: $78 - $138"
"QA Engineer - Hourly Intern","$17/hr","Range: $17 - $18"
"Director, Client Solutions","$182,553/yr","Range: $167K - $201K"
"Practice Manager","$171,251/yr","Range: $154K - $187K"
"Executive Administrative Assistant","$77,884/yr","Range: $61K - $95K"
"Software Engineer II","$104,821/yr","Range: $100K - $109K"
"Senior Sales Executive","$114,994/yr","Range: $82K - $151K"
"Client Solutions Executive","$178,149/yr","Range: $148K - $210K"
"Desktop Virtualization Reference Architect Engineer","$164,128/yr","Range: $158K - $170K"
"Director of Engineering","$228,118/yr","Range: $213K - $242K"
"Director, Product Management","$227,354/yr","Range: $211K - $243K"
"Video Producer","$64,338/yr","Range: $61K - $67K"
"Director of Business Operations","$203,759/yr","Range: $190K - $215K"
"Partner Manager","$141,591/yr","Range: $120K - $165K"
"Engagement Program Manager","$149,648/yr","Range: $126K - $174K"
"Senior Member of Technical Staff - Storage Management","$162,127/yr","Range: $139K - $186K"
"Human Resources Director","$203,428/yr","Range: $185K - $225K"
"Accountant","$53,990/yr","Range: $51K - $56K"
"IT Manager","$151,423/yr","Range: $135K - $168K"
"Senior Director, Sales","$191,771/yr","Range: $181K - $202K"
"Senior IT Administrator","$123,405/yr","Range: $101K - $147K"
"Senior Staff Software Engineer","$237,990/yr","Range: $208K - $270K"
"Business Applications Support Analyst","$93,655/yr","Range: $89K - $98K"
"Inside Sales Account Executive","$53,503/yr","Range: $51K - $56K"
"Intern","$70,924/yr","Range: $55K - $89K"
"Chief Architect","$260,460/yr","Range: $186K - $344K"
"Enterprise Sales Executive","$124,690/yr","Range: $89K - $162K"
"Group Manager","$157,322/yr","Range: $148K - $169K"
"Senior Release Manager","$152,721/yr","Range: $144K - $161K"
"Sales Director","$191,082/yr","Range: $181K - $205K"
"Software Quality Assurance Engineer","$118,395/yr","Range: $103K - $133K"
"Human Resources","$88,829/yr","Range: $65K - $115K"
"Software Technical Consultant","$76,030/yr","Range: $71K - $81K"
"Senior IT Program Manager","$145,034/yr","Range: $131K - $158K"
"Business Solutions Architect","$156,658/yr","Range: $148K - $166K"
"GA","$87,335/yr","Range: $82K - $93K"
"Sales Enablement Manager","$109,458/yr","Range: $88K - $133K"
"Senior DevOps Engineer","$159,600/yr","Range: $146K - $173K"
"Senior Member of Technical Staff-QA Engineer","$152,126/yr","Range: $117K - $192K"
"Human Resources Operations Manager","$117,997/yr","Range: $99K - $138K"
"Engineer","$136,179/yr","Range: $119K - $154K"
"Strategic Accounts Manager","$129,209/yr","Range: $125K - $135K"
"Senior Localization Manager","$154,423/yr","Range: $142K - $168K"
"Operations Analyst","$53,661/yr","Range: $47K - $60K"
"Client Account Manager","$62,295/yr","Range: $58K - $66K"
"Software Engineer I","$81,695/yr","Range: $71K - $93K"
"Data Analyst - Hourly Intern","$26/hr","Range: $21 - $32"
"Senior Member of Technical Staff - Continuing Product","$144,776/yr","Range: $133K - $156K"
"Visual Designer","$130,338/yr","Range: $116K - $144K"
"Senior Pre-Sales Engineer","$141,808/yr","Range: $131K - $154K"
"Project Manager - Hourly Contractor","$55/hr","Range: $38 - $73"
"Senior Member of Technical Staff Storage","$141,126/yr","Range: $133K - $150K"
"Software Engineering Director","$227,612/yr","Range: $206K - $248K"
"IT Architect","$151,022/yr","Range: $138K - $165K"
"Senior IT Engineer","$142,723/yr","Range: $137K - $149K"
"Business Analyst, Business Intelligence & Reporting","$80,216/yr","Range: $45K - $119K"
"Vmware Administrator","$109,152/yr","Range: $83K - $138K"
"Member of Technical Staff, Web Developer","$125,594/yr","Range: $121K - $131K"
"Financial Analyst - Hourly Intern","$32/hr","Range: $30 - $33"
", Member of Technical Staff - Hourly Intern","$47/hr","Range: $45 - $50"
"Information Security Engineer","$114,822/yr","Range: $99K - $132K"
"Technology Analyst","$98,724/yr","Range: $87K - $110K"
"Senior Technical Support Engineer III - Hourly","$42/hr","Range: $38 - $46"
"Manager, QE","$146,826/yr","Range: $131K - $162K"
"Software Test Engineer","$119,107/yr","Range: $114K - $127K"
"Senior Program Manager - Product Security","$157,421/yr","Range: $151K - $163K"
"Member of Technical Staff, Sustaining Engineer","$109,713/yr","Range: $99K - $121K"
"Quality Assurance","$91,930/yr","Range: $36K - $151K"
"Product Specialist","$117,472/yr","Range: $67K - $171K"
"Member of Technical Staff, Senior Quality Engineer","$128,967/yr","Range: $110K - $148K"
"Network Engineer","$83,452/yr","Range: $69K - $99K"
"Business Analyst - Monthly Intern","$6,767/mo","Range: $5K - $8K"
"Sales","$59,398/yr","Range: $52K - $67K"
"Program Director","$190,712/yr","Range: $174K - $211K"
"Regional Sales Manager","$90,145/yr","Range: $85K - $96K"
"Channel Manager","$162,259/yr","Range: $137K - $190K"
"Solutions Specialist","$72,830/yr","Range: $66K - $80K"
"Product Support Engineer","$107,908/yr","Range: $97K - $117K"
"Sharepoint Developer","$124,339/yr","Range: $116K - $132K"
"Senior Recruiter","$117,509/yr","Range: $93K - $143K"
"Data Analyst","$102,831/yr","Range: $97K - $108K"
"Web Applications Developer III","$107,113/yr","Range: $103K - $112K"
"Oracle Applications Developer","$130,884/yr","Range: $123K - $139K"
"Business Development Representative","$48,250/yr","Range: $41K - $56K"
"Storage Solutions Engineer","$131,562/yr","Range: $125K - $139K"
"Salesforce Administrator","$71,952/yr","Range: $49K - $96K"
"Contractor - Hourly","$43/hr","Range: $31 - $57"
"Member of Technical Staff, Continuing Product Development","$112,393/yr","Range: $101K - $124K"
"Marketing Specialist - Hourly Contractor","$31/hr","Range: $28 - $33"
"Product Marketing Manager - Hourly Intern","$52/hr","Range: $50 - $54"
"Senior Director, R&D","$246,064/yr","Range: $215K - $277K"
"Enterprise Account Manager","$105,454/yr","Range: $73K - $142K"
"Program Manager - Contractor","$109,243/yr","Range: $88K - $134K"
"Partner Business Manager","$107,846/yr","Range: $102K - $113K"
"Staffing Coordinator - Hourly","$22/hr","Range: $22 - $23"
"Technical Proposal Writer","$54,092/yr","Range: $50K - $59K"
"Lead Development Representative - Hourly Contractor","$22/hr","Range: $21 - $22"
"Marketing Analyst","$81,724/yr","Range: $77K - $87K"
"Staff Software Test Engineer","$133,790/yr","Range: $127K - $140K"
"Associate Systems Engineer","$106,601/yr","Range: $103K - $112K"
"Senior Account Manager","$56,110/yr","Range: $53K - $59K"
"Operations Supervisor","$101,913/yr","Range: $74K - $133K"
"Marketing - Hourly Intern","$26/hr","Range: $20 - $34"
"IOS Developer","$89,252/yr","Range: $77K - $101K"
"Inside Partner Business Manager","$56,529/yr","Range: $47K - $67K"
"Applications Support Analyst","$94,586/yr","Range: $86K - $103K"
"Staff Technical Writer - Hourly","$60/hr","Range: $50 - $70"
"National Partner Manager","$106,034/yr","Range: $80K - $132K"
"Staff Technical Program Manager","$188,310/yr","Range: $166K - $213K"
"Inside Sales Associate - Hourly","$30/hr","Range: $25 - $36"
"Sales - Hourly Intern","$20/hr","Range: $17 - $23"
"Client Services Director","$158,602/yr","Range: $149K - $169K"
"Senior Technical Trainer - Hourly","$66/hr","Range: $59 - $72"
"Solutoin Consultant","$89,039/yr","Range: $60K - $121K"
"Software Development - Hourly Intern","$43/hr","Range: $37 - $50"
"IT Director","$199,938/yr","Range: $163K - $243K"
"Presales Solutions Architect","$157,087/yr","Range: $135K - $181K"
"UI Developer - Hourly Intern","$44/hr","Range: $31 - $58"
"Quality Assurance - Hourly Intern","$30/hr","Range: $16 - $46"
"Senior Deal Desk Analyst","$95,359/yr","Range: $83K - $108K"
"Senior Business Development Manager","$176,548/yr","Range: $161K - $191K"
"Sr Member of Technical Staff","$144,940/yr","Range: $133K - $156K"
"Virtual Sales Representative","$61,685/yr","Range: $50K - $75K"
"Member of Technical Staff I","$100,505/yr","Range: $96K - $104K"
"Senior Technical Support Engineer III","$87,139/yr","Range: $84K - $91K"
"Senior Technical Writer - Hourly","$61/hr","Range: $51 - $70"
"Lead Business Systems Analyst - IT","$158,065/yr","Range: $144K - $173K"
"Project Coordinator - Hourly Contractor","$43/hr","Range: $26 - $61"
"Partner Program Manager - Hourly Contractor","$92/hr","Range: $56 - $133"
"Computer Systems Analyst","$88,869/yr","Range: $86K - $92K"
"Product Manager - Hourly Intern","$51/hr","Range: $49 - $54"
"Programmer Analyst/Senior Applications Developer","$125,226/yr","Range: $119K - $131K"
"SE Manager","$178,984/yr","Range: $173K - $186K"
"Communications Manager","$91,142/yr","Range: $84K - $98K"
"Business Development Manager","$104,071/yr","Range: $67K - $145K"
"Senior Manager Globalization Operations","$137,731/yr","Range: $131K - $142K"
"Inside Sales Representative - Hourly Intern","$22/hr","Range: $21 - $24"
"R&D","$67,765/yr","Range: $47K - $91K"
"IT Applications Architect","$142,411/yr","Range: $137K - $149K"
"Staff Product Manager","$192,272/yr","Range: $183K - $199K"
"Sourcer - Contractor","$143,930/yr","Range: $137K - $149K"
"Director of Engineering - Monthly","$19,966/mo","Range: $19K - $21K"
