"jobTitle","meanPay","Range"
"IT Consultant - Contractor","$53,835/yr","Range: $52K - $56K"
"FSM - Monthly","$2,039/mo","Range: $2K - $2K"
"Senior Staff Mechanical Design Engineer","$166,205/yr","Range: $160K - $173K"
"Test Development Engineer","$115,072/yr","Range: $111K - $119K"
"Staff Systems Engineer (Senior Engineer)","$125,107/yr","Range: $119K - $129K"
"Interim Software Engineer - Hourly Intern","$24/hr","Range: $23 - $25"
"Chief Executive Officer","$50,955/yr","Range: $49K - $53K"
"Research - Hourly Intern","$54/hr","Range: $52 - $57"
"Senior Principal Engineer","$221,128/yr","Range: $212K - $229K"
"Senior Staff Engineer/Manager","$117,982/yr","Range: $113K - $122K"
"Associated Engineer - Hourly","$36/hr","Range: $35 - $37"
"Executive Creative Director","$260,438/yr","Range: $252K - $269K"
"Production Analyst","$69,138/yr","Range: $67K - $72K"
"Architect - Contractor","$213,575/yr","Range: $204K - $222K"
"Design Director","$162,795/yr","Range: $157K - $171K"
"Sr Manager","$130,825/yr","Range: $125K - $136K"
"Marketing","$49,520/yr","Range: $47K - $51K"
"Account Supervisor","$85,429/yr","Range: $81K - $90K"
"Network Engineer - Hourly Intern","$17/hr","Range: $17 - $18"
"Engineer II - Hourly","$24/hr","Range: $23 - $25"
"Field Service Engineer","$92,588/yr","Range: $89K - $96K"
"Senior Director Marketing Services/New Business Development","$170,294/yr","Range: $162K - $177K"
"Technical Account Manager - Monthly","$4,013/mo","Range: $4K - $4K"
"Manager of Product Planning","$127,082/yr","Range: $121K - $133K"
"Mobile Sales Consultant - Hourly","$16/hr","Range: $16 - $17"
"Senior Staff Systems Engineer (Wimax Systems)","$137,125/yr","Range: $131K - $142K"
"Maintenance Manager","$115,180/yr","Range: $111K - $120K"
"Supply Chain","$84,123/yr","Range: $81K - $88K"
"RFIC Design Engineer - Hourly","$53/hr","Range: $52 - $56"
"Interoperability Test Engineer - Hourly","$40/hr","Range: $39 - $42"
"Service Director","$138,599/yr","Range: $133K - $143K"
"Attorney","$139,981/yr","Range: $135K - $144K"
"Engineering Manager","$70,193/yr","Range: $67K - $74K"
"Quality Management Specialist","$76,024/yr","Range: $73K - $78K"
"Security - Hourly","$16/hr","Range: $15 - $16"
"Software Engineer - Hourly Intern","$44/hr","Range: $42 - $46"
"Data Analyst - Hourly Intern","$27/hr","Range: $26 - $28"
"Facilities Technician - Hourly","$32/hr","Range: $31 - $34"
"Electrical Engineer - Contractor","$86,142/yr","Range: $84K - $89K"
"Vice President Human Resources","$198,082/yr","Range: $190K - $205K"
"Team Leader","$39,132/yr","Range: $38K - $40K"
"Field and Support Engineer I - User Interface","$65,922/yr","Range: $64K - $68K"
"Strategy Director","$215,168/yr","Range: $208K - $223K"
"QA Analyst - Hourly Contractor","$21/hr","Range: $20 - $22"
"Manufacturing Supervisor","$102,740/yr","Range: $99K - $106K"
"Net Developer","$84,056/yr","Range: $81K - $87K"
"Warehouse Associate - Hourly","$12/hr","Range: $11 - $12"
