"jobTitle","meanPay","Range"
"Help Desk Technician - Hourly Contractor","$26/hr","Range: $24 - $29"
"Sales","$74,514/yr","Range: $38K - $113K"
"Executive Communications Manager","$111,978/yr","Range: $102K - $122K"
"Design Manager","$170,757/yr","Range: $146K - $198K"
"Strategic Partnerships Manager","$167,613/yr","Range: $130K - $207K"
"University Recruiter - Hourly Contractor","$58/hr","Range: $54 - $61"
"Quantitative Analyst","$158,412/yr","Range: $137K - $179K"
"Network Security Engineer","$109,468/yr","Range: $101K - $117K"
"Head of Sales","$225,482/yr","Range: $143K - $312K"
"Operations Specialist - Hourly Contractor","$27/hr","Range: $26 - $28"
"Valuation Analyst","$96,964/yr","Range: $91K - $103K"
"Systems Software Engineer","$156,093/yr","Range: $143K - $172K"
"Administrative Assistant - Contractor","$76,687/yr","Range: $65K - $89K"
"TPM","$172,708/yr","Range: $160K - $185K"
"Recruiting Program Manager","$143,257/yr","Range: $116K - $173K"
"Senior Sourcing Manager","$157,634/yr","Range: $138K - $179K"
"Product Operations Manager","$130,667/yr","Range: $112K - $151K"
"Front End Engineer - Monthly Intern","$7,651/mo","Range: $6K - $9K"
"Senior Recruiter","$132,250/yr","Range: $125K - $140K"
"Specialist","$92,537/yr","Range: $86K - $100K"
"Database Administrator","$136,733/yr","Range: $126K - $148K"
"Mechanical Engineer","$144,634/yr","Range: $111K - $180K"
"Analytics Engineer","$139,122/yr","Range: $132K - $145K"
"Product Design","$133,889/yr","Range: $113K - $158K"
"Developer Operations Analyst - Hourly","$34/hr","Range: $29 - $40"
"Product Line Manager","$129,388/yr","Range: $123K - $135K"
"Technical Editor","$89,441/yr","Range: $75K - $104K"
"Associate, Marketing Analytics","$93,702/yr","Range: $80K - $108K"
"Data Scientist - Monthly","$7,646/mo","Range: $7K - $9K"
"Vendor Manager","$117,881/yr","Range: $95K - $143K"
"IT Business Analyst","$128,338/yr","Range: $107K - $152K"
"Software","$174,897/yr","Range: $134K - $216K"
"Programmer Analyst","$65,146/yr","Range: $48K - $83K"
"Senior Financial Analyst","$110,600/yr","Range: $100K - $121K"
"Technology Manager","$130,332/yr","Range: $107K - $155K"
"Graphic Designer - Contractor","$117,269/yr","Range: $98K - $138K"
"Senior Front End Engineer","$203,017/yr","Range: $188K - $219K"
"Applications Engineer - Monthly Intern","$7,771/mo","Range: $7K - $8K"
"Senior Program Manager","$173,234/yr","Range: $160K - $187K"
"Software Engineer - Contractor","$141,145/yr","Range: $118K - $166K"
"Lead Engineer","$149,152/yr","Range: $143K - $155K"
"Business Intelligence Developer","$125,089/yr","Range: $121K - $131K"
"Kitchen Manager","$68,971/yr","Range: $63K - $75K"
"Production Engineer Co-op - Monthly Intern","$8,281/mo","Range: $8K - $9K"
"Account Executive","$107,872/yr","Range: $85K - $133K"
"Data Engineering - Monthly Intern","$7,003/mo","Range: $6K - $8K"
"Operations Coordinator","$68,528/yr","Range: $63K - $75K"
"Media Operations - Hourly Contractor","$26/hr","Range: $24 - $28"
"Studio","$59,782/yr","Range: $55K - $65K"
"User Interface Engineer - Monthly Intern","$6,925/mo","Range: $6K - $8K"
"Creative","$168,154/yr","Range: $106K - $235K"
"Operations Specialist","$99,969/yr","Range: $91K - $109K"
"Director, International Business Development Management","$158,090/yr","Range: $139K - $177K"
"Communications Associate Manager","$91,362/yr","Range: $85K - $99K"
"Administrative Specialist","$58,126/yr","Range: $52K - $64K"
"Community Operations Specialist - Hourly","$32/hr","Range: $29 - $36"
"Marketing","$94,676/yr","Range: $71K - $120K"
"Media Manager","$115,802/yr","Range: $109K - $123K"
"Electronics Engineer","$118,535/yr","Range: $113K - $125K"
"Global Sales","$94,829/yr","Range: $82K - $107K"
"Software Data Engineer","$128,306/yr","Range: $124K - $136K"
"Customer Service Manager Supervisor","$54,661/yr","Range: $51K - $58K"
"Computer Engineer Phd","$138,262/yr","Range: $122K - $154K"
"Channel Marketing","$126,138/yr","Range: $117K - $136K"
"Group Product Manager","$196,680/yr","Range: $186K - $208K"
"Partner Marketing Manager","$104,911/yr","Range: $62K - $150K"
"Strategic Partner Development Associate","$94,100/yr","Range: $86K - $101K"
"Communications Manager","$90,611/yr","Range: $83K - $99K"
"Account Manager SMB","$87,906/yr","Range: $71K - $105K"
"Campus Recruiter","$103,639/yr","Range: $98K - $109K"
"Systems Architect","$137,813/yr","Range: $124K - $153K"
"Sr. Software Engineer","$174,627/yr","Range: $166K - $182K"
"3D Artist","$140,127/yr","Range: $104K - $179K"
"Failure Analysis Engineer","$80,405/yr","Range: $52K - $110K"
"Telecommunications Engineer","$108,579/yr","Range: $105K - $114K"
"Accounting Manager","$123,982/yr","Range: $107K - $144K"
"Software Engineering - Monthly","$8,757/mo","Range: $8K - $10K"
"Sales Administrator","$67,571/yr","Range: $64K - $70K"
"Human Resources Business Partner","$169,818/yr","Range: $140K - $200K"
"Applications Developer","$111,574/yr","Range: $105K - $118K"
"Marketing Program Administrator","$122,699/yr","Range: $100K - $147K"
"Network Manager","$135,864/yr","Range: $121K - $153K"
"Senior Mechanical Engineer","$138,965/yr","Range: $117K - $163K"
"Content Specialist - Hourly Contractor","$25/hr","Range: $24 - $27"
"Facilities Manager","$114,668/yr","Range: $103K - $127K"
"Compliance Associate","$79,541/yr","Range: $75K - $85K"
"Software - Monthly Intern","$7,830/mo","Range: $6K - $9K"
"Marketing Program Manager","$113,728/yr","Range: $109K - $119K"
"Human Resources Manager","$131,924/yr","Range: $70K - $200K"
"Finance Analyst","$95,312/yr","Range: $91K - $100K"
"Associate Legal Counsel","$166,257/yr","Range: $153K - $179K"
"Strategic Partner Development Manager","$129,301/yr","Range: $88K - $174K"
"PHP Developer","$100,802/yr","Range: $94K - $108K"
"Analyst - Hourly","$26/hr","Range: $22 - $30"
"Supervisor","$71,150/yr","Range: $49K - $95K"
"Enterprise Product Manager","$178,905/yr","Range: $169K - $189K"
"Data Infrastructure - Monthly Intern","$8,017/mo","Range: $8K - $8K"
"Growth Manager","$188,927/yr","Range: $182K - $197K"
