"jobTitle","meanPay","Range"
"Director, Product Management","$192,847/yr","Range: $167K - $217K"
"Business Process Analyst Staff","$110,257/yr","Range: $102K - $126K"
"IT Network Engineer Staff","$129,502/yr","Range: $124K - $137K"
"Manager, Business Development","$124,787/yr","Range: $97K - $135K"
"Digital Hardware Engineer","$103,373/yr","Range: $95K - $115K"
"Process Development Engineer","$91,871/yr","Range: $87K - $111K"
"Vice President Engineering","$271,160/yr","Range: $129K - $301K"
"Senior Staff Design Engineer","$167,608/yr","Range: $108K - $184K"
"Software - Hourly Intern","$33/hr","Range: $25 - $45"
"Senior Design Verification Engineer","$116,787/yr","Range: $115K - $140K"
"Marketing - Hourly Intern","$19/hr","Range: $18 - $20"
"IT Senior Manager","$154,760/yr","Range: $143K - $167K"
"Staff Product Engineer","$135,502/yr","Range: $120K - $168K"
"Internship - Hourly","$40/hr","Range: $16 - $48"
"Product Marketing Manager","$141,616/yr","Range: $128K - $154K"
"Senior Manager, Technical Marketing","$141,183/yr","Range: $124K - $168K"
"Account Manager","$91,071/yr","Range: $52K - $162K"
"Modem Systems Test Engineer - Contractor","$80,091/yr","Range: $73K - $91K"
"Staff Software Systems Test Engineer Manager","$153,890/yr","Range: $152K - $156K"
"Software Applications Engineer","$101,495/yr","Range: $70K - $106K"
"Test Technician - Hourly","$20/hr","Range: $18 - $29"
"Staff Manager","$164,538/yr","Range: $156K - $178K"
"Senior Software Engineer - Hourly","$55/hr","Range: $51 - $62"
"Senior Hardware Verification Engineer","$116,928/yr","Range: $97K - $117K"
"Sourcing Specialist","$96,719/yr","Range: $95K - $104K"
"RF Engineer","$117,276/yr","Range: $97K - $143K"
"Senior Support Engineer - Hourly","$44/hr","Range: $41 - $47"
"Test Technician - Hourly Contractor","$19/hr","Range: $19 - $24"
"Software Quality Assurance Engineer","$112,203/yr","Range: $88K - $142K"
"Director, Marketing","$187,077/yr","Range: $176K - $202K"
"Senior RFIC Design Engineer","$118,137/yr","Range: $114K - $120K"
"Design Verification Engineer","$115,442/yr","Range: $93K - $166K"
"Staff Manager Marketing","$182,178/yr","Range: $77K - $183K"
"Software Developer","$75,757/yr","Range: $54K - $117K"
"Senior Analyst","$91,793/yr","Range: $81K - $99K"
"Senior Signal Processing Engineer","$139,262/yr","Range: $130K - $149K"
"Staff ASIC Engineer","$149,966/yr","Range: $139K - $167K"
"RF Test Engineer","$94,293/yr","Range: $76K - $171K"
"Interim Engineering - Hourly","$39/hr","Range: $24 - $46"
"Senior Marketing Manager","$150,936/yr","Range: $134K - $160K"
"Senior Circuit Design Engineer","$121,028/yr","Range: $117K - $131K"
"Principal Hardware Engineer","$203,932/yr","Range: $191K - $211K"
"Director of Hardware Engineering","$215,887/yr","Range: $189K - $229K"
"Embedded Software Engineer Staff","$137,073/yr","Range: $135K - $138K"
"Senior RF Engineer","$118,326/yr","Range: $98K - $121K"
"Engineer - Contractor","$90,857/yr","Range: $81K - $92K"
"Financial Analyst Staff","$98,072/yr","Range: $68K - $118K"
"Senior Staff Systems Hardware Engineer","$157,248/yr","Range: $119K - $168K"
