"jobTitle","company","meanPay"
"Marketing","BigCommerce","$61,987/yr"
"Marketing - Hourly Intern","Western Union","$31/hr"
"Marketing - Monthly Intern","KOTRA","$3,227/mo"
"Marketing","Cox Media Group","$56,335/yr"
"Marketing - Hourly Intern","Spectrum","$18/hr"
"Marketing","Mango Languages","$62,330/yr"
"Marketing - Hourly Intern","New York Mets Organization","$10/hr"
"Marketing - Hourly Intern","Veterans United Home Loans","$13/hr"
"Marketing - Monthly Intern","FCA Fiat Chrysler Automobiles","$2,994/mo"
"Marketing","Bodybuilding.com","$66,173/yr"
"Marketing - Hourly Intern","Target","$15/hr"
"Marketing - Hourly Intern","Animoto","$13/hr"
"Marketing","Leaf Filter Gutter Protection","$54,530/yr"
"Marketing - Hourly Intern","Aderant","$12/hr"
"Marketing","All Star Directories, Inc.","$97,328/yr"
"Marketing - Hourly Intern","Gap","$21/hr"
"Marketing","Discover","$91,230/yr"
"Marketing - Hourly","Accessory Power","$15/hr"
"Marketing","Lanyon","$45,208/yr"
"Marketing - Hourly Intern","Milwaukee Bucks","$11/hr"
"Marketing","INVISTA","$71,901/yr"
"Marketing - Monthly Intern","Digital Pulp","$1,064/mo"
"Marketing","Haven Life","$126,375/yr"
"Marketing - Hourly","Vivax Pros","$16/hr"
"Marketing - Hourly Intern","Hilti North America","$22/hr"
"Marketing - Hourly Intern","Robert Bosch","$24/hr"
"Marketing - Hourly Intern","USAA","$19/hr"
"Marketing","Showtime Networks","$112,686/yr"
"Marketing","Learning Tree International","$87,200/yr"
"Marketing","AIG","$85,154/yr"
"Marketing","iCIMS","$53,909/yr"
"Marketing","Paycor","$92,353/yr"
"Marketing","Eating Recovery Center","$59,045/yr"
"Marketing","NerdWallet","$59,123/yr"
"Marketing - Hourly Intern","Schneider Electric","$18/hr"
"Marketing","Liberty Travel","$41,200/yr"
"Marketing","Chegg","$91,611/yr"
"Marketing - Hourly Intern","YMT Vacations","$13/hr"
"Marketing","Mouser Electronics","$38,032/yr"
"Marketing - Hourly Intern","Starz Entertainment","$13/hr"
"Marketing","Vera Bradley","$55,902/yr"
"Marketing","MyBuys","$97,782/yr"
"Marketing","Newton Running","$53,307/yr"
"Marketing","Edward Jones","$79,089/yr"
"Marketing","Spiceworks","$81,037/yr"
"Marketing - Hourly Intern","Wolters Kluwer","$14/hr"
"Marketing - Hourly Intern","Nordson","$15/hr"
"Marketing","Transamerica","$91,140/yr"
"Marketing - Hourly Intern","NIKE","$19/hr"
"Marketing - Monthly Intern","General Motors (GM)","$3,959/mo"
"Marketing - Hourly Intern","Yahoo","$21/hr"
"Marketing","Intuit","$171,502/yr"
"Marketing - Hourly Intern","Morningstar","$13/hr"
"Marketing","Integra LifeSciences","$156,513/yr"
"Marketing","NVIDIA","$156,006/yr"
"Marketing","American Automobile Association (AAA)","$60,468/yr"
