date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Aug 12 2019 13:08:03 GMT-0700 (Pacific Daylight Time), Senior Systems Engineer,"Atlanta, GA",Current Employee ,As enjoyable to work at as I hoped it would before I joined,I have been working at Cisco Systems full-time for more than 3 years,,"Lots of good things to say about the caliber of people, the general culture and combination of salary and benefits.","Any company this large has issues, nothing surprising here.",,5.0,5.0,5.0,4.0,5.0,4.0
Mon Aug 26 2019 10:22:45 GMT-0700 (Pacific Daylight Time), Program/Project Manager,"Raleigh, NC",Current Employee ,"Looking for Project, Program Manager role",I have been working at Cisco Systems full-time for more than 10 years,,Cisco is great company to work. we can have work-life balance and cisco has office hours flexibility.,"Since Cisco is large company, process of getting things done is slower. Need more transparency with management and employees",,4.0,4.0,4.0,4.0,4.0,4.0
Thu Aug 01 2019 06:29:56 GMT-0700 (Pacific Daylight Time), Account Manager,"Los Angeles, CA",Current Employee ,Cisco Evolution,I have been working at Cisco Systems full-time for more than 10 years,3,"* HR has been auditing pay gaps to eliminate bias/inequity
* Benefits improve every year to stay competitive
* Expert Medical Opinion program is great
* more benefits focus on ""whole life"" versus just a birth/adoption (this is good)","* Cisco moves fast, and sometimes it can be hard for some to keep pace",,5.0,4.0,5.0,5.0,5.0,5.0
Thu Aug 22 2019 12:59:17 GMT-0700 (Pacific Daylight Time), Program Manager,"San Jose, CA",Former Employee ,great people bad company for people,I worked at Cisco Systems full-time for more than 5 years,3,the people are intelligent and great team members,lower pay than similar firms and in constant reorganization and lay offs,"I was given a great RSU package for my great work and extra effort I gave the company by taking on an additional customer. I was top of my team. Then a reorganization demolished my team and the company and its customers lost all of the top tier folks. The management in the organization up through Director level have NO input. It is literally a roll of the dice, not your value that decides whether you stay or go every 6 months. Why would anyone choose to stay here?",2.0,1.0,3.0,1.0,3.0,1.0
Fri Aug 23 2019 15:20:07 GMT-0700 (Pacific Daylight Time), Lead Software Engineer,"San Jose, CA",Former Employee ,"good to start, but definitely have to leave",I worked at Cisco Systems full-time for more than 3 years,2,"worked here for 4 years and quit to progress my career:
1. Work life balance is great. 
2. A lot of the people are really fun and there's definitely a lot of help if you need it. 
3. Really open to learning and continuing your learning","oh man after 4 years you definitely start seeing the cracks:
1. Open discrimination against men is pretty tolerant here, I.E. opportunities and events only women can attend and sign up here.
2. You're underpaid from day 1, don't expect that to change, the next year's new grads will come in at a higher pay than you.
3. Career progression doesn't happen too often, you'll definitely get the work but never the monetary or career recognition.
4. Some pretty toxic LGBTQ+ people I.E. I was told it was ""good that I was discriminated against because I'm not a minority.""","I get progressive culture and support it, but how its being pushed is really toxic. Inclusiveness means EVERYONE, not just people who you deem have been discriminated against. look into rewarding employees and progressing their careers for their work(not just a dinner every once in awhile)",2.0,5.0,1.0,1.0,2.0,3.0
Thu Aug 15 2019 23:02:23 GMT-0700 (Pacific Daylight Time), Technical Leader,"San Jose, CA",Former Employee ,Good place to work.....but excessive layoffs,I worked at Cisco Systems full-time for more than 8 years,4,"Good benefits, people and systems.","Lots of churn, political jungle. If you have to layoff people EVERY year, there's a problem....","Attract and retain good people.... treat them fairly, and remove the noxious politics and backstabbing from powerpoint wielding middle managers.",3.0,3.0,3.0,3.0,3.0,2.0
Thu Aug 22 2019 19:40:39 GMT-0700 (Pacific Daylight Time), Senior Tech Lead,"San Jose, CA",Former Employee ,"politics, lots of politics",I worked at Cisco Systems full-time for more than 8 years,2,can work as little as you want without being bothered,"unless you are good at politics, not a good place to work","figure out a way to get diversity in the ASIC departments, otherwise the hierarchies are formed during saturday night parties",2.0,4.0,2.0,2.0,3.0,2.0
Fri Sep 13 2019 10:50:59 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,"San Jose, CA",Current Employee ,Avoid SPNS BU in all means,I have been working at Cisco Systems full-time for more than a year,2,"Good perks
Work-Life balance
Decent food in the cafeteria
Product and architecture is super awesome","1) Salary and compensation is less compared to industry standards
3) No need to fix the problems that you face. 
4) Low employee morale, manager Divides employees and Rules. A lot of favoritism.
5) Too much politics, VPs fighting among themselves.
6) Too much over-pressuring from managers and super high expectations.
7) Peers don't help much, and you will always be judged
8) No chance of promotion for up to three years","1) Lack of planning and organization within teams
2) Lack of vision across BU and teams
3) Unclear description of roles and responsibilities 
3) Lack of Documentation 
4) No Onboarding Process",1.0,4.0,1.0,1.0,3.0,1.0
Thu Aug 08 2019 23:28:25 GMT-0700 (Pacific Daylight Time), Senior Product Manager,"San Jose, CA",Current Employee ,Good company to work,I have been working at Cisco Systems full-time for more than 8 years,,"Respectful, Work-life balance and Benefit is good",Decision chain is too long.,,5.0,5.0,4.0,5.0,4.0,4.0
Thu Aug 22 2019 13:26:20 GMT-0700 (Pacific Daylight Time), Senior Technical Leader,"Raleigh, NC",Current Employee ,Great company to work for,I have been working at Cisco Systems full-time for more than 8 years,,"Flexible work times/schedules
Good pay
Plenty going for someone looking for a technical challenge to pursue",No diversity in engineering workforce. Not much commitment shown by management in improving the situation.,,4.0,2.0,2.0,3.0,4.0,3.0
