"jobTitle","meanPay","Range"
"Campaign Manager","$83,676/yr","Range: $63K - $104K"
"Channel Sales Manager","$101,245/yr","Range: $94K - $157K"
"Information Architect","$101,182/yr","Range: $86K - $139K"
"Client Solutions Executive","$150,268/yr","Range: $98K - $185K"
"Associate Product Manager","$95,283/yr","Range: $86K - $110K"
"Instructional Designer","$89,424/yr","Range: $76K - $102K"
"Patent Agent","$92,090/yr","Range: $87K - $107K"
"SAP ABAP Developer","$76,769/yr","Range: $66K - $90K"
"UX Designer","$101,887/yr","Range: $80K - $120K"
"Lead Senior Programmer","$74,910/yr","Range: $75K - $83K"
"Senior Account Executive","$135,858/yr","Range: $73K - $177K"
"Business Consultant","$75,684/yr","Range: $63K - $112K"
"Oracle Database Administrator","$97,585/yr","Range: $60K - $137K"
"Oracle Applications Database Administrator","$80,934/yr","Range: $64K - $100K"
"Patent Engineer","$98,679/yr","Range: $70K - $115K"
"Intern - Monthly","$6,245/mo","Range: $3K - $8K"
"Co-Op - Hourly Intern","$25/hr","Range: $15 - $44"
"Senior Sales Representative","$125,027/yr","Range: $81K - $153K"
"Network Engineer","$84,394/yr","Range: $53K - $97K"
"Senior User Experience Designer","$124,214/yr","Range: $87K - $160K"
"Executive Project Manager","$159,534/yr","Range: $119K - $199K"
"Business Unit Executive","$171,204/yr","Range: $130K - $229K"
"Senior Accountant","$79,465/yr","Range: $75K - $91K"
"Summer Research - Hourly Intern","$43/hr","Range: $25 - $48"
"Client Manager","$75,079/yr","Range: $65K - $110K"
"Software Engineer Staff","$98,680/yr","Range: $77K - $173K"
"Technical Account Manager","$79,145/yr","Range: $63K - $132K"
"Tech Lead","$79,152/yr","Range: $64K - $151K"
"Platform Engineer","$97,579/yr","Range: $83K - $119K"
"IT Manager","$119,204/yr","Range: $99K - $144K"
"Senior Technical Architect","$130,500/yr","Range: $105K - $178K"
"Software Quality Assurance Engineer","$91,970/yr","Range: $74K - $107K"
"Network Administrator","$81,361/yr","Range: $74K - $96K"
"Client Service Representative","$54,263/yr","Range: $48K - $71K"
"Portfolio Manager","$113,724/yr","Range: $92K - $143K"
"Sales Account Manager","$107,232/yr","Range: $50K - $134K"
"Software Developer Intern","$66,711/yr","Range: $63K - $79K"
"Entry Level Devops Engineer","$101,360/yr","Range: $90K - $127K"
"Integration Architect","$99,359/yr","Range: $85K - $139K"
"Network Architect","$104,067/yr","Range: $97K - $119K"
"SAP Technical Consultant","$84,175/yr","Range: $68K - $124K"
"Security","$56,795/yr","Range: $35K - $69K"
"Inside Sales Representative","$58,066/yr","Range: $45K - $87K"
"Sales Consultant","$122,082/yr","Range: $111K - $142K"
"Media","$68,063/yr","Range: $61K - $80K"
"Strategist","$96,945/yr","Range: $85K - $159K"
"Solutions Engineer","$94,848/yr","Range: $89K - $107K"
"SAP CRM Consultant","$93,775/yr","Range: $76K - $108K"
"Senior Web Developer","$104,569/yr","Range: $74K - $124K"
"Principal Consultant","$140,560/yr","Range: $130K - $199K"
"Senior Development Engineer","$139,880/yr","Range: $111K - $160K"
"Senior Network Architect","$117,650/yr","Range: $109K - $141K"
"IT Analyst","$69,250/yr","Range: $47K - $97K"
"Marketing","$86,687/yr","Range: $62K - $133K"
"Client Partner","$115,404/yr","Range: $107K - $317K"
"Infrastructure Specialist","$84,112/yr","Range: $66K - $96K"
"Software Engineer (Band 7)","$91,737/yr","Range: $75K - $141K"
"Senior Software Sales Specialist","$132,958/yr","Range: $96K - $182K"
"Technical Evangelist","$98,538/yr","Range: $92K - $110K"
"Senior Sales Engineer","$139,397/yr","Range: $108K - $176K"
"Research - Monthly Intern","$7,164/mo","Range: $4K - $8K"
"Inside Sales Manager","$73,618/yr","Range: $67K - $106K"
"Data Center Technician","$43,897/yr","Range: $32K - $62K"
"STSM","$183,620/yr","Range: $154K - $228K"
"Advisory Software Engineer - Monthly","$9,748/mo","Range: $8K - $11K"
"Content Manager","$75,835/yr","Range: $71K - $99K"
"Brand Representative","$41,128/yr","Range: $38K - $47K"
"Analytics","$88,849/yr","Range: $69K - $103K"
"Global Sales Manager","$112,623/yr","Range: $106K - $131K"
"Staff Development Engineer","$99,932/yr","Range: $75K - $120K"
"Performance Engineer","$104,295/yr","Range: $79K - $113K"
"Software Sales Manager","$157,668/yr","Range: $135K - $210K"
"Senior Software Engineer - Manager","$156,537/yr","Range: $125K - $187K"
"Director, Regional Sales Management","$154,359/yr","Range: $132K - $197K"
"Technical Team Leader","$77,952/yr","Range: $63K - $99K"
"Technical Solutions Consultant","$50,991/yr","Range: $48K - $120K"
"Salesforce Developer","$49,730/yr","Range: $44K - $61K"
"Construction Manager","$92,508/yr","Range: $86K - $105K"
"Associate Real Estate Broker","$72,419/yr","Range: $68K - $83K"
"Business Analytics Associate Consultant","$102,080/yr","Range: $94K - $120K"
"Associate Information Architect","$93,423/yr","Range: $88K - $108K"
"Associate Subject Matter Expert","$48,428/yr","Range: $45K - $61K"
