"jobTitle","meanPay","Range"
"Director Customer Care","$231,552/yr","Range: $200K - $248K"
"Product Manager - Hourly Intern","$28/hr","Range: $27 - $32"
"Senior Instructional Designer","$99,419/yr","Range: $95K - $114K"
"Staff Data Engineer","$156,670/yr","Range: $97K - $166K"
"Senior Tax Analyst","$94,865/yr","Range: $86K - $103K"
"Software Development - Hourly Intern","$32/hr","Range: $30 - $36"
"Strategic Sourcing Manager","$82,407/yr","Range: $78K - $88K"
"Senior Sales Manager","$105,203/yr","Range: $70K - $113K"
"Manager II Development","$151,539/yr","Range: $146K - $156K"
"Territory Account Manager","$62,088/yr","Range: $59K - $70K"
"Customer Support Manager","$79,513/yr","Range: $59K - $154K"
"Principal","$194,032/yr","Range: $150K - $195K"
"Seasonal Tax Specialist - Hourly","$19/hr","Range: $16 - $21"
"Director, Product Management","$233,916/yr","Range: $213K - $260K"
"Manager, Corporate Strategy","$164,837/yr","Range: $155K - $204K"
"Corporate Strategy Associate","$147,524/yr","Range: $130K - $158K"
"Customer Service Specialist - Hourly","$21/hr","Range: $15 - $32"
"Scrum Master - Hourly Contractor","$73/hr","Range: $47 - $80"
"Content Designer","$92,191/yr","Range: $89K - $162K"
"Software Engineer - Hourly","$52/hr","Range: $38 - $53"
"Project Manager - Hourly Contractor","$43/hr","Range: $38 - $59"
"Call Center Representative","$40,664/yr","Range: $40K - $47K"
"Senior Editor","$106,221/yr","Range: $87K - $118K"
"Senior Account Executive","$65,033/yr","Range: $65K - $86K"
"Senior Developer Support Engineer","$130,755/yr","Range: $131K - $131K"
"Human Resource Partner","$94,602/yr","Range: $89K - $189K"
"Payroll Specialist - Hourly","$17/hr","Range: $17 - $18"
"Senior Performance Test Engineer","$131,388/yr","Range: $127K - $141K"
"Strategy Analyst","$110,923/yr","Range: $106K - $111K"
"Sr Business Analyst","$89,293/yr","Range: $75K - $140K"
"Senior Fraud Analyst","$80,693/yr","Range: $77K - $85K"
"Service Delivery Manager","$150,680/yr","Range: $130K - $151K"
"Human Resources Program Manager","$129,259/yr","Range: $92K - $132K"
"Channel Marketing Manager","$86,249/yr","Range: $82K - $147K"
"Sales Engineer","$111,538/yr","Range: $59K - $116K"
"Associate","$58,341/yr","Range: $56K - $83K"
"Security Engineer","$150,953/yr","Range: $142K - $171K"
"Senior Manager Corporate Communications","$148,874/yr","Range: $144K - $166K"
"Principal Financial Analyst","$137,989/yr","Range: $137K - $165K"
"Software Development Engineer","$98,883/yr","Range: $92K - $120K"
"Development Manager II","$149,076/yr","Range: $146K - $149K"
"Senior Operations Analyst","$74,502/yr","Range: $52K - $96K"
"User Experience Researcher","$109,383/yr","Range: $104K - $126K"
"Senior Product Designer","$101,909/yr","Range: $97K - $110K"
"Operations","$65,257/yr","Range: $61K - $114K"
"Sales and Support Consultant III","$89,727/yr","Range: $56K - $108K"
"SSR - Support Services Representative","$44,034/yr","Range: $38K - $46K"
"Operations Manager","$78,627/yr","Range: $78K - $86K"
"Trainer","$58,685/yr","Range: $57K - $81K"
"Senior Development Manager In Quality","$165,253/yr","Range: $157K - $171K"
"Group Development Manager","$217,149/yr","Range: $189K - $222K"
"Customer Service Support Representative - Hourly","$16/hr","Range: $15 - $18"
"Data Scientist - Hourly Intern","$54/hr","Range: $50 - $55"
"QA Engineer - Hourly Intern","$38/hr","Range: $37 - $41"
"Senior QA Manager","$134,395/yr","Range: $96K - $156K"
"Event Manager","$79,926/yr","Range: $68K - $83K"
"Software - Hourly Intern","$30/hr","Range: $28 - $32"
"Security Architect","$162,444/yr","Range: $136K - $184K"
"Inside Sales Consultant","$39,114/yr","Range: $38K - $42K"
"Staff DevOps Engineer","$145,782/yr","Range: $121K - $194K"
"Applications Operations Engineer II","$95,938/yr","Range: $94K - $103K"
"Experience Design - Hourly Intern","$30/hr","Range: $30 - $34"
"Database Engineer","$88,100/yr","Range: $82K - $131K"
"Senior Manager, Corporate Development","$202,285/yr","Range: $153K - $210K"
"Senior Service and Support Specialist - Hourly","$22/hr","Range: $21 - $24"
"Quality Assurance","$82,203/yr","Range: $52K - $130K"
"Designer","$90,356/yr","Range: $81K - $106K"
"Customer Service Representative - Hourly","$14/hr","Range: $10 - $17"
"Tech Support Agent - Hourly","$19/hr","Range: $15 - $19"
"Group Program Manager","$185,544/yr","Range: $132K - $190K"
"Tax Analyst","$47,787/yr","Range: $46K - $70K"
"Marketing","$171,779/yr","Range: $90K - $200K"
"Senior Security Manager","$136,845/yr","Range: $108K - $145K"
"Business Analyst - Hourly Intern","$28/hr","Range: $24 - $42"
"Corporate Strategy Manager","$157,268/yr","Range: $113K - $163K"
"Senior Software QA Engineer - Hourly Contractor","$66/hr","Range: $66 - $70"
"Finance Analyst","$80,758/yr","Range: $70K - $94K"
"Implementation Specialist","$46,754/yr","Range: $42K - $48K"
"Customer Care Manager","$132,469/yr","Range: $48K - $160K"
"Tax Advisor - Hourly","$26/hr","Range: $25 - $27"
"Operations Analyst","$55,004/yr","Range: $54K - $57K"
"Service Support Representative - Hourly","$18/hr","Range: $17 - $18"
"Senior Front End Engineer","$125,736/yr","Range: $119K - $160K"
"Accountant","$77,546/yr","Range: $72K - $78K"
"Web Analyst","$80,681/yr","Range: $78K - $134K"
"Senior Business Operations Manager","$125,502/yr","Range: $91K - $168K"
"Account Executive - Hourly","$20/hr","Range: $16 - $22"
"Recruiting - Hourly Intern","$26/hr","Range: $24 - $28"
"User Experience Designer","$107,219/yr","Range: $83K - $150K"
"Software Engineer - Contractor","$94,858/yr","Range: $90K - $117K"
"Program Manager - Contractor","$109,736/yr","Range: $75K - $133K"
"Senior User Experience Researcher","$114,483/yr","Range: $93K - $129K"
"Product Management","$183,586/yr","Range: $86K - $237K"
"Senior Sourcing Manager","$118,627/yr","Range: $110K - $128K"
"Senior Software Engineering Manager","$155,139/yr","Range: $140K - $171K"
"Customer Success Manager","$87,754/yr","Range: $79K - $97K"
"Senior Marketing Program Manager","$129,658/yr","Range: $114K - $149K"
"Human Resources Coordinator","$70,536/yr","Range: $61K - $81K"
"Manager, Strategy and Business Development","$171,159/yr","Range: $162K - $179K"
"Risk Management Investigator - Hourly","$18/hr","Range: $16 - $20"
"Sales Representative II - Hourly","$24/hr","Range: $22 - $25"
"Senior Recruiter","$133,095/yr","Range: $126K - $141K"
"Tax Analyst - Hourly","$41/hr","Range: $36 - $47"
"Manager, Experimentation & Marketing Analytics","$123,725/yr","Range: $118K - $129K"
"Senior Risk Manager","$114,727/yr","Range: $95K - $136K"
"Customer Service and Support Specialist - Hourly Contractor","$19/hr","Range: $16 - $21"
"Seasonal Tax Preparer - Hourly","$22/hr","Range: $18 - $27"
"Performance Engineer","$140,604/yr","Range: $107K - $177K"
"QA Analyst - Hourly","$30/hr","Range: $24 - $36"
"User Experience Researcher - Hourly Intern","$36/hr","Range: $31 - $41"
"National Account Manager","$129,621/yr","Range: $124K - $136K"
"Digital Marketing Manager","$101,650/yr","Range: $91K - $113K"
"Developer Relations Engineer","$116,210/yr","Range: $101K - $131K"
"Senior Operations Manager","$140,808/yr","Range: $107K - $176K"
"Senior Business Development Manager","$123,362/yr","Range: $101K - $145K"
"Visual Design - Hourly Intern","$38/hr","Range: $35 - $40"
"California - Hourly","$26/hr","Range: $14 - $39"
"RDP Associate","$72,480/yr","Range: $66K - $80K"
"Sales Support Manager","$62,956/yr","Range: $45K - $82K"
"Technical Support Engineer","$68,285/yr","Range: $40K - $98K"
"Senior Inside Sales Manager","$96,211/yr","Range: $91K - $102K"
"Principal Business Analyst","$140,402/yr","Range: $132K - $149K"
"Workforce Management Analyst","$58,557/yr","Range: $55K - $62K"
"Human Resources - Hourly Intern","$25/hr","Range: $23 - $28"
"Creative Director","$233,124/yr","Range: $211K - $254K"
"Technical Recruiter","$117,920/yr","Range: $92K - $147K"
"Sales Representative - Hourly","$19/hr","Range: $13 - $25"
"Senior Corporate Counsel","$199,421/yr","Range: $190K - $210K"
"Temporary","$38,979/yr","Range: $36K - $42K"
"Software Engineer In QA","$120,386/yr","Range: $105K - $136K"
"Director, Web Marketing","$235,952/yr","Range: $223K - $250K"
"Senior Business Operations Analyst","$98,830/yr","Range: $79K - $120K"
"New College Grad - Software Engineer","$109,155/yr","Range: $90K - $130K"
"General Manager - Hourly","$99/hr","Range: $95 - $103"
"Director, Customer Experience","$114,848/yr","Range: $110K - $122K"
"Customer Service Representative - Hourly Contractor","$16/hr","Range: $15 - $18"
"Tax Professional","$28,190/yr","Range: $26K - $31K"
"Staff Database Engineer","$152,704/yr","Range: $143K - $163K"
"Analyst - Hourly","$29/hr","Range: $27 - $30"
"Legal - Hourly Intern","$27/hr","Range: $26 - $28"
"Software Engineer Intern","$89,389/yr","Range: $81K - $97K"
"Intuit Web Advisor","$36,135/yr","Range: $32K - $41K"
"Recruiter - Hourly Contractor","$91/hr","Range: $69 - $116"
"Benefits Analyst","$81,135/yr","Range: $73K - $88K"
"Technical Recruiter - Contractor","$105,439/yr","Range: $99K - $113K"
"Onboarding Specialist - Hourly","$20/hr","Range: $18 - $21"
