"jobTitle","meanPay","Range"
"Senior Manager Financial Systems","$125,900/yr","Range: $120K - $131K"
"Project Manager I","$92,228/yr","Range: $86K - $99K"
"Senior Director Technology","$215,206/yr","Range: $191K - $240K"
"Media Producer - Hourly","$19/hr","Range: $16 - $22"
"Business Analysis Manager","$107,955/yr","Range: $104K - $113K"
"Network Engineer","$91,349/yr","Range: $70K - $114K"
"HR Associate","$64,484/yr","Range: $59K - $69K"
"User Experience Lead","$122,151/yr","Range: $117K - $127K"
"Senior UX Researcher","$119,317/yr","Range: $114K - $124K"
"Tax Manager","$115,041/yr","Range: $101K - $130K"
"Lodging Support Services - Hourly","$17/hr","Range: $16 - $18"
"Senior Performance Engineer","$109,948/yr","Range: $104K - $116K"
"Lead Program Manager","$133,210/yr","Range: $115K - $153K"
"Senior FP&A Manager","$121,325/yr","Range: $112K - $132K"
"Audit Manager","$114,198/yr","Range: $98K - $131K"
"Director, Analytics Management","$156,432/yr","Range: $137K - $177K"
"Senior Release Manager","$124,318/yr","Range: $104K - $147K"
"Customer Service Agent","$34,040/yr","Range: $30K - $38K"
"Senior Technical Manager","$129,309/yr","Range: $124K - $135K"
"Human Resources Generalist","$66,978/yr","Range: $59K - $75K"
"Senior SEO Specialist","$76,427/yr","Range: $67K - $87K"
"Ecommerce Director","$145,471/yr","Range: $124K - $170K"
"Vice President, Product Management","$228,592/yr","Range: $187K - $274K"
"Recruiting Coordinator - Hourly","$24/hr","Range: $23 - $25"
"Marketing Specialist","$65,189/yr","Range: $40K - $93K"
"Senior Executive Assistant","$80,278/yr","Range: $78K - $84K"
"Business Analyst - Hourly","$25/hr","Range: $20 - $30"
"Windows Systems Administrator","$90,258/yr","Range: $83K - $97K"
"UI Developer","$100,739/yr","Range: $97K - $105K"
"Release Manager","$119,479/yr","Range: $110K - $130K"
"Business Intelligence Manager","$110,459/yr","Range: $103K - $118K"
"Senior Designer","$97,251/yr","Range: $81K - $115K"
"Sales Representative - Hourly","$15/hr","Range: $11 - $20"
"California","$87,310/yr","Range: $54K - $123K"
"Market Coordinator - Hourly","$21/hr","Range: $19 - $24"
"IT Project Manager","$127,065/yr","Range: $120K - $133K"
"Technology Operations Manager","$141,389/yr","Range: $135K - $149K"
"Senior Process Analyst","$90,362/yr","Range: $86K - $95K"
"Senior Manager Analytics","$138,855/yr","Range: $129K - $147K"
"Senior Director, IT","$219,168/yr","Range: $209K - $231K"
"Senior Internal Auditor","$90,002/yr","Range: $85K - $95K"
"Site Conversion Manager","$90,685/yr","Range: $80K - $101K"
"IT Support Technician - Hourly","$25/hr","Range: $24 - $26"
"Product Marketing Manager","$106,456/yr","Range: $94K - $121K"
"Salesforce Administrator","$91,732/yr","Range: $80K - $103K"
"Global Product Manager","$110,869/yr","Range: $96K - $127K"
"Web Producer","$69,881/yr","Range: $59K - $80K"
"Geographer - Hourly Contractor","$25/hr","Range: $21 - $29"
"Business Objects Developer","$111,208/yr","Range: $98K - $126K"
"Software Test Engineer II","$113,693/yr","Range: $102K - $127K"
"Training and Development Manager","$93,994/yr","Range: $88K - $100K"
"Principal Technical Product Manager","$121,995/yr","Range: $79K - $169K"
"Senior Data Engineer","$157,630/yr","Range: $137K - $180K"
"Clerical","$39,713/yr","Range: $34K - $46K"
"Director, Communications Management","$123,872/yr","Range: $118K - $130K"
"Salesforce Developer","$98,139/yr","Range: $80K - $119K"
"Software Development Engineer In Test I","$105,185/yr","Range: $100K - $110K"
"Support Manager","$59,642/yr","Range: $56K - $63K"
"Software Engineer In Test I","$99,569/yr","Range: $81K - $118K"
"Systems Administrator - Hourly","$42/hr","Range: $30 - $55"
"Compliance Manager","$86,427/yr","Range: $77K - $97K"
"Administrative Assistant - Hourly","$22/hr","Range: $19 - $25"
"Engineer","$58,327/yr","Range: $39K - $79K"
"Vice President Engineering","$242,741/yr","Range: $198K - $290K"
"Release Engineer II","$110,206/yr","Range: $97K - $124K"
"Financial Operations Supervisor","$47,909/yr","Range: $45K - $50K"
"Product Manager Mobile","$122,501/yr","Range: $115K - $130K"
"Senior Technical Project Manager","$125,303/yr","Range: $100K - $152K"
"Senior Operations Analyst","$80,539/yr","Range: $77K - $84K"
"Travel Consultant","$38,592/yr","Range: $33K - $44K"
"Principal Project Manager","$148,277/yr","Range: $132K - $167K"
"Senior Accountant II","$86,508/yr","Range: $79K - $93K"
"Senior Financial Systems Analyst","$97,755/yr","Range: $92K - $104K"
"Senior Technical Recruiter","$118,858/yr","Range: $109K - $129K"
"Programmer Analyst","$106,267/yr","Range: $100K - $112K"
"Current Employee","$69,254/yr","Range: $51K - $89K"
"Cruise Agent - Hourly","$13/hr","Range: $12 - $13"
"Customer Service Representative","$37,878/yr","Range: $36K - $40K"
"Project Management Director","$143,866/yr","Range: $135K - $151K"
"Database Developer I","$99,029/yr","Range: $94K - $103K"
"Software Developer - Hourly Intern","$43/hr","Range: $32 - $55"
"SEO","$80,583/yr","Range: $69K - $94K"
"Software QA Lead","$104,343/yr","Range: $96K - $113K"
"Technical Support Representative - Hourly Contractor","$20/hr","Range: $16 - $24"
"Senior Database Marketing Manager","$91,114/yr","Range: $83K - $101K"
"Manager II","$95,894/yr","Range: $66K - $128K"
"Transportation Analyst","$71,315/yr","Range: $65K - $78K"
"Senior Clinical Data Manager","$95,091/yr","Range: $87K - $102K"
"Data Analyst","$107,984/yr","Range: $100K - $118K"
"Senior Data Manager","$96,082/yr","Range: $88K - $104K"
"Team Lead - Hourly","$20/hr","Range: $19 - $21"
"Project Analyst","$76,573/yr","Range: $69K - $84K"
"Senior Accounting Manager","$107,912/yr","Range: $89K - $128K"
"Director of Content","$135,952/yr","Range: $130K - $144K"
"Senior DevOps Engineer","$138,017/yr","Range: $134K - $144K"
"Senior Software Development Lead","$130,944/yr","Range: $126K - $136K"
"Senior SEM Specialist","$84,884/yr","Range: $81K - $88K"
"Senior Software Engineer (Java Development)","$121,518/yr","Range: $100K - $144K"
"Regulatory Affairs Manager","$91,569/yr","Range: $88K - $96K"
"Engineering Manager, Data Warehouse","$137,666/yr","Range: $130K - $145K"
"Senior Fraud Analyst","$68,526/yr","Range: $64K - $72K"
"TPM","$119,784/yr","Range: $100K - $139K"
"Data Specialist","$57,755/yr","Range: $54K - $61K"
"Customer Experience Manager","$79,726/yr","Range: $75K - $84K"
"Hotel Partner Support","$33,569/yr","Range: $31K - $37K"
"Technical Product Manager II","$141,562/yr","Range: $131K - $152K"
"Senior Director Finance","$167,650/yr","Range: $153K - $183K"
"Travel Agent - Hourly","$13/hr","Range: $11 - $14"
"Reporting Analyst","$79,521/yr","Range: $69K - $91K"
"Associate Systems Administrator","$69,500/yr","Range: $65K - $74K"
"Application Engineer","$92,139/yr","Range: $88K - $97K"
"Senior Database Administrator (SQL Server)","$113,640/yr","Range: $107K - $120K"
"Security Engineer II","$128,111/yr","Range: $122K - $135K"
"Operations Program Manager","$95,670/yr","Range: $82K - $110K"
"Vendor Technology Manager","$132,030/yr","Range: $122K - $143K"
"Associate Accountant - Hourly","$22/hr","Range: $18 - $27"
"Media Manager","$95,148/yr","Range: $84K - $106K"
"Sales Operations Manager","$92,515/yr","Range: $84K - $99K"
"Director of Business Development","$158,452/yr","Range: $150K - $168K"
"Senior Business Development Manager","$123,550/yr","Range: $97K - $151K"
"Principal Data Scientist","$200,000/yr","Range: $174K - $231K"
"Performance Test Engineer","$95,622/yr","Range: $89K - $102K"
"Senior Account Executive","$106,953/yr","Range: $97K - $117K"
"Technical Project Manager","$103,457/yr","Range: $96K - $111K"
"Software Design Engineer I","$91,975/yr","Range: $88K - $96K"
"Director, HR Management","$133,975/yr","Range: $126K - $143K"
"Senior Software Development Engineer In Test","$140,137/yr","Range: $125K - $157K"
"Technology Manager","$118,832/yr","Range: $99K - $140K"
"Associate Merchandiser - Hourly","$28/hr","Range: $26 - $29"
"Senior IT Auditor","$91,741/yr","Range: $85K - $100K"
"Sales Support","$43,705/yr","Range: $40K - $47K"
"Equity Research Analyst","$90,599/yr","Range: $86K - $94K"
"Payroll Specialist","$56,802/yr","Range: $49K - $65K"
"Staff Accountant","$70,236/yr","Range: $64K - $77K"
"Director, SEO","$117,464/yr","Range: $105K - $131K"
"Performance Engineer","$110,078/yr","Range: $101K - $120K"
"SEM Specialist","$74,292/yr","Range: $70K - $79K"
"Information Technology Director","$182,547/yr","Range: $158K - $206K"
"Senior Programmer","$102,817/yr","Range: $89K - $117K"
"Transportation Manager","$86,189/yr","Range: $78K - $94K"
"Fraud Analyst II","$52,203/yr","Range: $49K - $55K"
"Senior Marketing Communications Manager","$103,173/yr","Range: $97K - $110K"
"Software Engineer In Test - Hourly Contractor","$50/hr","Range: $47 - $53"
"Web Analytics Manager","$107,088/yr","Range: $98K - $116K"
"Test Manager (Software Engineer)","$111,631/yr","Range: $105K - $117K"
"Senior Release Engineer","$136,201/yr","Range: $121K - $153K"
"Mobile Developer I","$118,365/yr","Range: $97K - $140K"
"Senior Business Analyst II","$90,839/yr","Range: $82K - $100K"
"Director, Data Management","$141,992/yr","Range: $123K - $164K"
"Tier III - Hourly","$16/hr","Range: $15 - $17"
"International Travel Consultant","$43,603/yr","Range: $41K - $47K"
"Information Technology Manager","$134,200/yr","Range: $125K - $146K"
"Administrative Assistant","$65,540/yr","Range: $53K - $79K"
"Senior Recruiting Coordinator","$65,844/yr","Range: $59K - $73K"
"Systems Architect","$137,552/yr","Range: $130K - $147K"
"Principal Software Architect","$182,954/yr","Range: $160K - $208K"
"Release Engineer","$84,762/yr","Range: $79K - $89K"
"Systems and Reports Analyst","$73,831/yr","Range: $51K - $98K"
"Accounts Receivable Coordinator - Hourly","$16/hr","Range: $15 - $17"
"Senior Campaign Manager","$84,819/yr","Range: $71K - $99K"
"Director Finance","$147,181/yr","Range: $140K - $156K"
"Inside Sales Executive","$70,460/yr","Range: $66K - $76K"
