"jobTitle","meanPay","Range"
"Data Engineer Intern","$122,118/yr","Range: $104K - $131K"
"Senior UX Designer","$140,653/yr","Range: $93K - $156K"
"Senior Corporate Counsel","$217,509/yr","Range: $151K - $244K"
"Associate Member of Technical Staff (Performance Engineer)","$111,043/yr","Range: $111K - $111K"
"Senior Member of Technical Staff Quality Assurance","$134,626/yr","Range: $79K - $136K"
"Front End Web Developer","$119,263/yr","Range: $119K - $144K"
"Usability Analyst","$119,531/yr","Range: $100K - $123K"
"Strategy Analyst","$86,142/yr","Range: $78K - $102K"
"Member of Technical Staff, Quality Engineering","$127,921/yr","Range: $124K - $134K"
"Regional Manager","$128,464/yr","Range: $80K - $130K"
"Release Engineer","$133,903/yr","Range: $123K - $135K"
"Business Consultant","$167,107/yr","Range: $151K - $172K"
"Application Developer","$111,547/yr","Range: $111K - $131K"
"Network Security Engineer","$102,438/yr","Range: $88K - $117K"
"Director, Corporate Marketing","$170,380/yr","Range: $143K - $175K"
"Financial Manager","$121,098/yr","Range: $105K - $132K"
"Software Engineer ()","$127,760/yr","Range: $70K - $137K"
"Senior Ae","$89,480/yr","Range: $71K - $94K"
"Staff Technical Writer","$141,012/yr","Range: $140K - $145K"
"Alliance Director","$204,918/yr","Range: $150K - $210K"
"Principal Member of the Technical Staff","$189,509/yr","Range: $171K - $202K"
"Senior Event Manager","$108,844/yr","Range: $84K - $112K"
"Senior Site Reliability Engineer","$161,429/yr","Range: $138K - $165K"
"Senior Account Manager","$156,326/yr","Range: $108K - $194K"
"Inside Sales Manager","$102,514/yr","Range: $93K - $106K"
"Marketing - Hourly Intern","$19/hr","Range: $18 - $28"
"Senior Manager, Marketing Operations","$169,163/yr","Range: $145K - $176K"
"Lead Member, Technical Staff","$160,839/yr","Range: $160K - $163K"
"Member of Technical Staff (QA Engineer)","$116,556/yr","Range: $109K - $124K"
"Platform Specialist","$156,326/yr","Range: $119K - $165K"
"Compliance Manager","$117,845/yr","Range: $98K - $148K"
"Data Engineer","$121,247/yr","Range: $118K - $149K"
"Senior Development Manager","$185,005/yr","Range: $167K - $196K"
"Senior Developer Support Engineer - Hourly","$53/hr","Range: $53 - $56"
"Associate Data Scientist","$116,032/yr","Range: $101K - $137K"
"Solutions Manager","$137,390/yr","Range: $128K - $165K"
"Principal Technical Support Engineer","$132,730/yr","Range: $133K - $133K"
"Senior Sales Operations Analyst","$103,186/yr","Range: $93K - $107K"
"Senior Manager - Strategy & Operations","$172,986/yr","Range: $156K - $185K"
"Lead Solutions Engineer","$131,089/yr","Range: $105K - $150K"
"Agile Coach","$177,668/yr","Range: $146K - $180K"
"Director, Finance","$204,841/yr","Range: $203K - $206K"
"Sales - Hourly Intern","$20/hr","Range: $20 - $20"
"Member of the Technical Staff","$123,849/yr","Range: $122K - $128K"
