"jobTitle","company","meanPay"
"Intern - Hourly","CBS","$12/hr"
"Intern - Hourly","L3 Technologies","$21/hr"
"Intern","Morgan Stanley","$27,312/yr"
"Intern - Hourly","Lam Research","$24/hr"
"Intern - Hourly","Allstate","$18/hr"
"Intern - Hourly","TD Ameritrade","$15/hr"
"Intern - Hourly","Aon","$17/hr"
"Intern - Hourly","IHS Markit","$20/hr"
"Intern - Hourly","Cerner","$19/hr"
"Intern - Hourly","2U","$16/hr"
"Intern - Hourly","Baxter","$20/hr"
"Intern - Hourly","UnitedHealth Group","$19/hr"
"Intern - Hourly","United Technologies","$23/hr"
"Intern - Hourly","Principal Financial Group","$16/hr"
"Intern - Hourly","Conagra Brands","$20/hr"
"Intern - Hourly","Razorfish","$17/hr"
"Intern - Hourly","Biogen","$20/hr"
"Intern - Hourly","RBC","$13/hr"
"Intern - Monthly","Merck","$4,095/mo"
"Intern - Hourly","CenturyLink","$19/hr"
"Intern - Hourly","Cushman & Wakefield","$13/hr"
"Intern - Hourly","Oracle","$24/hr"
"Intern - Hourly","Autodesk","$32/hr"
"Intern - Hourly","Bayer","$23/hr"
"Intern - Hourly","Baker Hughes","$24/hr"
"Intern - Hourly","Brasfield & Gorrie","$16/hr"
"Intern - Hourly","Discover","$17/hr"
"Intern - Hourly","PVH Corp.","$17/hr"
"Intern - Hourly","Westinghouse","$18/hr"
"Intern - Hourly","DuPont","$25/hr"
"Intern - Hourly","Robert Bosch","$20/hr"
"Intern - Hourly","First Data","$17/hr"
"Intern - Hourly","Dell Technologies","$24/hr"
"Intern - Hourly","Micron Technology","$30/hr"
"Intern - Hourly","Kroger","$16/hr"
"Intern - Hourly","Akamai","$35/hr"
"Intern - Monthly","Center for Strategic and International Studies","$1,557/mo"
"Intern - Hourly","Zurich North America","$18/hr"
"Intern - Hourly","Parker Hannifin","$21/hr"
"Intern - Hourly","Freddie Mac","$20/hr"
"Intern - Hourly","BAE Systems USA","$19/hr"
